# Generated by SVM Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	kernel_type	C	degree	AUC
141.0	1.638959872226E12	polynomial	63.095734448019314	0.0039810717055349725	0.7294827346143136
132.0	1.638959878775E12	polynomial	251.1886431509581	0.06309573444801932	0.6884377610693402
135.0	1.638959886698E12	dot	1000.0	0.001	0.6756585909217488
134.0	1.638959887506E12	polynomial	1000.0	0.06309573444801932	0.6755632135895294
153.0	1.638959888252E12	radial	1000.0	0.001	0.7577318295739349
138.0	1.638959890836E12	polynomial	1000.0	0.001	0.6025062656641605
154.0	1.638959898619E12	dot	1.0	0.06309573444801932	0.7189905318852687
156.0	1.638959900403E12	dot	1.0	0.001	0.7008952937900306
157.0	1.63895990139E12	radial	1.0	0.06309573444801932	0.5509502923976608
144.0	1.638959902965E12	dot	63.095734448019314	0.0039810717055349725	0.7311869952659428
158.0	1.638959903281E12	radial	1.0	0.001	0.5440037593984963
160.0	1.638959906902E12	radial	63.095734448019314	0.0039810717055349725	0.6477325257588417
159.0	1.638959910884E12	polynomial	1.0	0.06309573444801932	0.7340385686438318
161.0	1.63895991614E12	polynomial	1.0	0.001	0.7614947089947092
145.0	1.638959919281E12	dot	63.095734448019314	0.25118864315095807	0.7207866889445838
165.0	1.63895992629E12	radial	63.095734448019314	0.25118864315095807	0.7054358117516013
163.0	1.638959941547E12	dot	3.9810717055349727	0.06309573444801932	0.7435909217488166
167.0	1.638959944855E12	radial	3.9810717055349727	0.06309573444801932	0.550093984962406
164.0	1.638959947866E12	dot	3.9810717055349727	0.001	0.67281328320802
169.0	1.638959949171E12	radial	3.9810717055349727	0.001	0.5364557226399331
146.0	1.638959957086E12	dot	1000.0	0.0039810717055349725	0.7093156502367028
171.0	1.638959958808E12	radial	1000.0	0.0039810717055349725	0.7396783625730995
147.0	1.638959960824E12	dot	1000.0	0.25118864315095807	0.6828118908382068
173.0	1.638959964387E12	radial	1000.0	0.25118864315095807	0.7621616541353384
149.0	1.638959967867E12	polynomial	1000.0	0.001	0.6559767474241158
150.0	1.638959969474E12	dot	1000.0	0.001	0.6528536619326094
151.0	1.638959970444E12	dot	251.1886431509581	0.0039810717055349725	0.6211654135338346
177.0	1.638959971973E12	radial	251.1886431509581	0.0039810717055349725	0.7549846839320524
152.0	1.638959975678E12	dot	1000.0	0.06309573444801932	0.6294646338067391
168.0	1.638959977564E12	polynomial	3.9810717055349727	0.06309573444801932	0.7270871623503203
170.0	1.638959977632E12	polynomial	3.9810717055349727	0.001	0.7491590086326928
162.0	1.638959980652E12	polynomial	63.095734448019314	0.0039810717055349725	0.7270579225842384
179.0	1.63895998094E12	radial	1000.0	0.06309573444801932	0.644004455583403
176.0	1.638959984045E12	radial	1000.0	0.001	0.6942836257309942
155.0	1.638959985495E12	polynomial	1000.0	0.001	0.6647862712336396
175.0	1.638959987698E12	dot	1.0	0.001	0.7176566416040101
186.0	1.638959990221E12	radial	1.0	0.001	0.7513109161793373
185.0	1.638960000566E12	dot	1.0	0.001	0.7412085769980508
166.0	1.638960002686E12	polynomial	63.095734448019314	0.25118864315095807	0.7587914230019495
188.0	1.638960003216E12	radial	1.0	0.001	0.7312907268170428
180.0	1.63896001057E12	dot	15.848931924611136	0.06309573444801932	0.7099651907546645
191.0	1.63896001243E12	radial	15.848931924611136	0.06309573444801932	0.5553049289891395
