# Generated by Cross Validation Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	rounds	booster	sample_type	normalize_type	learning_type	max_depth	feature_selector	top_k	updater	AUC
195.0	10911.0	90.0	linear booster	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
197.0	9290.0	90.0	linear booster	uniform	tree	0.0	6.0	cyclic	15.0	coord_descent	true
196.0	9339.0	21.0	linear booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
199.0	10076.0	70.0	linear booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
201.0	9301.0	80.0	linear booster	uniform	tree	0.0	6.0	shuffle	15.0	coord_descent	true
200.0	11501.0	31.0	DART	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
198.0	13505.0	60.0	DART	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
204.0	8582.0	80.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	coord_descent	true
203.0	10678.0	90.0	tree booster	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
202.0	12412.0	1.0	tree booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	shotgun	true
207.0	9314.0	100.0	linear booster	uniform	tree	0.0	6.0	cyclic	15.0	coord_descent	true
205.0	11333.0	100.0	linear booster	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
208.0	9457.0	31.0	linear booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
206.0	9536.0	100.0	linear booster	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
210.0	8232.0	90.0	linear booster	uniform	tree	0.0	6.0	shuffle	15.0	coord_descent	true
209.0	9877.0	80.0	linear booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
211.0	8759.0	41.0	DART	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
213.0	7940.0	90.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	coord_descent	true
214.0	9134.0	100.0	tree booster	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
215.0	9176.0	11.0	tree booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	shotgun	true
219.0	8806.0	1.0	DART	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
218.0	8840.0	41.0	linear booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
212.0	13849.0	70.0	DART	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
221.0	9273.0	100.0	linear booster	uniform	tree	0.0	6.0	shuffle	15.0	coord_descent	true
222.0	8644.0	90.0	linear booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
224.0	10285.0	51.0	DART	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
217.0	14063.0	1.0	DART	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
225.0	9698.0	100.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	coord_descent	true
231.0	7702.0	11.0	DART	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
228.0	9443.0	21.0	tree booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	shotgun	true
232.0	9096.0	51.0	linear booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
236.0	8623.0	60.0	tree booster	uniform	tree	0.04000000000000001	6.0	thrifty	15.0	shotgun	true
237.0	9165.0	100.0	linear booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
234.0	10420.0	80.0	DART	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
242.0	6932.0	60.0	DART	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
245.0	7100.0	1.0	tree booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	shotgun	true
243.0	10530.0	11.0	DART	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
252.0	8553.0	21.0	DART	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
255.0	8867.0	70.0	tree booster	uniform	tree	0.04000000000000001	6.0	thrifty	15.0	shotgun	true
253.0	11615.0	31.0	tree booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	shotgun	true
251.0	13077.0	1.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
254.0	11679.0	60.0	linear booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
258.0	10620.0	90.0	DART	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
257.0	10724.0	1.0	DART	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
259.0	10639.0	70.0	DART	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
262.0	11583.0	21.0	DART	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
263.0	12502.0	31.0	DART	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
260.0	16771.0	11.0	tree booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	shotgun	true
266.0	15802.0	41.0	tree booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	shotgun	true
270.0	14084.0	100.0	DART	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
265.0	17656.0	80.0	tree booster	uniform	tree	0.04000000000000001	6.0	thrifty	15.0	shotgun	true
268.0	15982.0	11.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
272.0	14102.0	80.0	DART	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
269.0	20573.0	70.0	linear booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
274.0	14032.0	31.0	DART	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
271.0	20587.0	11.0	DART	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
275.0	13583.0	41.0	DART	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
276.0	15243.0	21.0	tree booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	shotgun	true
283.0	11226.0	90.0	DART	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
282.0	11242.0	21.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
279.0	14269.0	1.0	tree booster	uniform	tree	0.48999999999999994	6.0	shuffle	15.0	coord_descent	true
281.0	13257.0	90.0	tree booster	uniform	tree	0.04000000000000001	6.0	thrifty	15.0	shotgun	true
278.0	15310.0	51.0	tree booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	shotgun	true
285.0	10344.0	80.0	linear booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
288.0	9358.0	51.0	DART	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
287.0	10429.0	21.0	DART	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
286.0	12028.0	41.0	DART	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
291.0	11986.0	31.0	tree booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	shotgun	true
294.0	10509.0	31.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
293.0	10717.0	100.0	DART	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
296.0	10218.0	100.0	tree booster	uniform	tree	0.04000000000000001	6.0	thrifty	15.0	shotgun	true
295.0	10705.0	11.0	tree booster	uniform	tree	0.48999999999999994	6.0	shuffle	15.0	coord_descent	true
300.0	8385.0	31.0	DART	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
299.0	9728.0	60.0	DART	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
298.0	12164.0	90.0	linear booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
302.0	12305.0	51.0	DART	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
304.0	8905.0	41.0	tree booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	shotgun	true
297.0	15090.0	60.0	tree booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	shotgun	true
305.0	9426.0	41.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
310.0	9465.0	21.0	tree booster	uniform	tree	0.48999999999999994	6.0	shuffle	15.0	coord_descent	true
314.0	9204.0	70.0	DART	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
317.0	9846.0	100.0	linear booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
306.0	15647.0	1.0	tree booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	shotgun	true
311.0	14066.0	41.0	DART	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
322.0	9511.0	51.0	tree booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	shotgun	true
321.0	9544.0	60.0	DART	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
327.0	9197.0	51.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
324.0	12252.0	70.0	tree booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	shotgun	true
332.0	9678.0	31.0	tree booster	uniform	tree	0.48999999999999994	6.0	shuffle	15.0	coord_descent	true
334.0	8807.0	1.0	linear booster	uniform	tree	0.0	6.0	thrifty	15.0	coord_descent	true
333.0	12905.0	80.0	DART	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
